route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
262,4480001001730,,16 鳴門線,,3,,FF4B00,FFFFFF
511,4480001001730,,23 鳴門線,,3,,FF4B00,FFFFFF
601,4480001001730,,15 鳴門線,,3,,FF4B00,FFFFFF
641,4480001001730,,17 鳴門線,,3,,FF4B00,FFFFFF
971,4480001001730,,97 鳴門公園線,,3,,03AF7A,000000
981,4480001001730,,98 鳴門公園線,,3,,03AF7A,000000
1001,4480001001730,,18 鳴門線,,3,,FF4B00,FFFFFF
1041,4480001001730,,25 鳴門線,,3,,FF4B00,FFFFFF
1061,4480001001730,,21 鳴門線,,3,,FF4B00,FFFFFF
1211,4480001001730,,33 立道線,,3,,FF4B00,FFFFFF
1531,4480001001730,,38 応神北島線,,3,,4DC4FF,000000
1801,4480001001730,,28 鍛冶屋原線,,3,,005AFF,FFFFFF
1961,4480001001730,,39 応神藍住線,,3,,005AFF,FFFFFF
2021,4480001001730,,52 鴨島線,,3,,03AF7A,000000
2071,4480001001730,,53 石井・高原線,,3,,03AF7A,000000
2181,4480001001730,,51 鴨島線,,3,,03AF7A,000000
2321,4480001001730,,15 不動線,,3,,03AF7A,000000
2361,4480001001730,,43 竜王団地線,,3,,03AF7A,000000
2531,4480001001730,,56 神山線,,3,,03AF7A,000000
2701,4480001001730,,17 ⑰号線,,3,,03AF7A,000000
2702,4480001001730,,5 ⑰号線,,3,,03AF7A,000000
2731,4480001001730,,17 天の原西線,,3,,03AF7A,000000
2751,4480001001730,,ゆめタウン徳島直行便,,3,,005AFF,FFFFFF
2801,4480001001730,,48 鍛冶屋原線,,3,,005AFF,FFFFFF
2811,4480001001730,,47 鍛冶屋原線,,3,,005AFF,FFFFFF
2911,4480001001730,,16 不動線,,3,,03AF7A,000000
2921,4480001001730,,31 中央循環線,,3,,990099,FFFFFF
2951,4480001001730,,6 島田石橋線,,3,,990099,FFFFFF
3201,4480001001730,,13 大神子線,,3,,FFF100,000000
3231,4480001001730,,14 大神子線,,3,,FFF100,000000
3421,4480001001730,,82 勝浦線,,3,,FFF100,000000
3501,4480001001730,,81 小松島線,,3,,FFF100,000000
3611,4480001001730,,87 橘線,,3,,FFF100,000000
4001,4480001001730,,6 市原線,,3,,990099,FFFFFF
4011,4480001001730,,6 市原線・島田石橋線,,3,,990099,FFFFFF
4031,4480001001730,,7 市原線,,3,,990099,FFFFFF
4071,4480001001730,,62 佐那河内線,,3,,03AF7A,000000
4301,4480001001730,,18 一宮線,,3,,03AF7A,000000
4401,4480001001730,,11 五滝線,,3,,FFF100,000000
4431,4480001001730,,12 五滝線,,3,,FFF100,000000
4451,4480001001730,,11 渋野線,,3,,FFF100,000000
4501,4480001001730,,33 南部循環線,,3,,990099,FFFFFF
4521,4480001001730,,9 山城線,,3,,990099,FFFFFF
4701,4480001001730,,2 法花線,,3,,990099,FFFFFF
4801,4480001001730,,3 中央市場線,,3,,990099,FFFFFF
4832,4480001001730,,オーシャン東九フェリー線（徳島駅前直行便）,,3,,990099,FFFFFF
4931,4480001001730,,1 津田線,,3,,990099,FFFFFF
4871,4480001001730,,24 津田線,,3,,990099,FFFFFF
4901,4480001001730,,1 新浜線,,3,,990099,FFFFFF
4921,4480001001730,,1 上鮎喰線,,3,,990099,FFFFFF
4922,4480001001730,,10 上鮎喰線,,3,,990099,FFFFFF
4991,4480001001730,,1 万代中央ふ頭線,,3,,990099,FFFFFF
5002,4480001001730,,34 川内循環線,,3,,4DC4FF,000000
6001,4480001001730,,91 和田島線,,3,,FFF100,000000
6011,4480001001730,,92 目佐和田島線,,3,,005AFF,FFFFFF
6021,4480001001730,,99 和田島線,,3,,FFF100,000000
6051,4480001001730,,96 小松島和田島線,,3,,FFF100,000000
6101,4480001001730,,93 立江線,,3,,FFF100,000000
6111,4480001001730,,94 小松島立江線,,3,,005AFF,FFFFFF
7001,4480001001730,,23 山城線,,3,,990099,FFFFFF
7011,4480001001730,,22 山城線,,3,,990099,FFFFFF
7601,4480001001730,,89 小松島線,,3,,FFF100,000000
7612,4480001001730,,95 小松島線,,3,,005AFF,FFFFFF
8001,4480001001730,,111 北泊線,,3,,03AF7A,000000
8011,4480001001730,,112 北泊線,,3,,03AF7A,000000
8021,4480001001730,,115 北泊線,,3,,03AF7A,000000
8041,4480001001730,,116 北泊線,,3,,03AF7A,000000
8051,4480001001730,,117 北泊線,,3,,03AF7A,000000
8062,4480001001730,,113 北泊線,,3,,03AF7A,000000
8082,4480001001730,,114 北泊線,,3,,03AF7A,000000
8201,4480001001730,,132 鳴門大麻線,,3,,03AF7A,000000
8211,4480001001730,,131 鳴門大麻線,,3,,03AF7A,000000
8301,4480001001730,,121 引田線,,3,,03AF7A,000000
8321,4480001001730,,122 引田線,,3,,03AF7A,000000
8391,4480001001730,,206 淡島線,,3,,03AF7A,000000
8411,4480001001730,,207 淡島線,,3,,03AF7A,000000
8451,4480001001730,,205 長生線,,3,,03AF7A,000000
8471,4480001001730,,201 椿泊線,,3,,03AF7A,000000
8481,4480001001730,,202 加茂谷線,,3,,03AF7A,000000
8521,4480001001730,,203 加茂谷線・椿泊線,,3,,03AF7A,000000
8531,4480001001730,,210 橘営業所線,,3,,03AF7A,000000
8541,4480001001730,,211 阿南循環線,,3,,FF4B00,FFFFFF
8571,4480001001730,,204 加茂谷線,,3,,03AF7A,000000
5301,4480001001730,,室戸・生見・阿南大阪線,,3,,,
5391,4480001001730,,室戸・生見・阿南大阪線,,3,,03AF7A,000000
