stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1_1,,西新町,,34.07513,134.54294,1_1,,,,,,
1_2,,西新町,,34.075879,134.542324,1_2,,,,,,
10_1,,八幡社前,,34.082731,134.552294,10_1,,,,,,
10_2,,八幡社前,,34.082956,134.552109,10_2,,,,,,
100_1,,吉永南,,34.162338,134.594228,100_1,,,,,,
100_2,,吉永南,,34.162633,134.594402,100_2,,,,,,
1000_1,,とくしま動物園,,34.013602,134.520909,1000_1,,,,,,
1001_1,,上渋野,,34.009542,134.524635,1001_1,,,,,,
1001_2,,上渋野,,34.009561,134.524808,1001_2,,,,,,
1002_1,,渋野,,34.008973,134.526636,1002_1,,,,,,
1002_2,,渋野,,34.009083,134.52727,1002_2,,,,,,
1003_1,,三ツ岩,,34.007989,134.5336,1003_1,,,,,,
1003_2,,三ツ岩,,34.008038,134.533687,1003_2,,,,,,
1004_1,,俵生,,34.008044,134.537711,1004_1,,,,,,
1004_2,,俵生,,34.008141,134.537709,1004_2,,,,,,
1005_1,,丈六寺南,,34.003684,134.549884,1005_1,,,,,,
1006_1,,仲之町一丁目,,34.066673,134.55106,1006_1,,,,,,
1006_2,,仲之町一丁目,,34.066719,134.551465,1006_2,,,,,,
1007_1,,ふれあい健康館,,34.051622,134.554365,1007_1,,,,,,
1008_1,,万代車庫前,,34.060795,134.567348,1008_1,,,,,,
1010_2,,助任橋四丁目,,34.080154,134.559156,1010_2,,,,,,
1011_1,,市民病院玄関前,,34.081982,134.562847,1011_1,,,,,,
1012_1,,吉野川大橋,,34.084179,134.564607,1012_1,,,,,,
1012_2,,吉野川大橋,,34.084335,134.564343,1012_2,,,,,,
1013_1,,鶴島西,,34.092599,134.575606,1013_1,,,,,,
1014_1,,鶴島,,34.091941,134.578532,1014_1,,,,,,
1014_2,,鶴島,,34.092025,134.579211,1014_2,,,,,,
1015_1,,錦野団地前,,34.092132,134.581851,1015_1,,,,,,
1015_2,,錦野団地前,,34.092114,134.581072,1015_2,,,,,,
1016_1,,十郎兵衛屋敷,,34.091469,134.584283,1016_1,,,,,,
1016_2,,十郎兵衛屋敷,,34.091548,134.584242,1016_2,,,,,,
1017_1,,宮島中,,34.092698,134.584695,1017_1,,,,,,
1018_1,,宮島金比羅前,,34.093352,134.586073,1018_1,,,,,,
1019_1,,松岡,,34.095982,134.586804,1019_1,,,,,,
1020_1,,富吉団地,,34.098654,134.586141,1020_1,,,,,,
1021_1,,富吉会館北,,34.101584,134.585767,1021_1,,,,,,
1021_2,,富吉会館北,,34.101816,134.585728,1021_2,,,,,,
1022_1,,あいあいサウナ前,,34.105606,134.588467,1022_1,,,,,,
1022_2,,あいあいサウナ前,,34.105661,134.58838,1022_2,,,,,,
1023_1,,流通団地東口,,34.107479,134.58883,1023_1,,,,,,
1023_2,,流通団地東口,,34.107461,134.588686,1023_2,,,,,,
1024_1,,ブレインズパーク前,,34.113296,134.589432,1024_1,,,,,,
1024_2,,ブレインズパーク前,,34.113223,134.589313,1024_2,,,,,,
1025_1,,米津団地前,,34.114938,134.589437,1025_1,,,,,,
1025_2,,米津団地前,,34.114954,134.589352,1025_2,,,,,,
1026_1,,住吉神社前（徳島市川内町）,,34.113952,134.584515,1026_1,,,,,,
1026_2,,住吉神社前（徳島市川内町）,,34.114006,134.584405,1026_2,,,,,,
1027_1,,平石住吉,,34.113165,134.581461,1027_1,,,,,,
1027_2,,平石住吉,,34.113242,134.58144,1027_2,,,,,,
1028_1,,大塚外科内科前,,34.111972,134.578649,1028_1,,,,,,
1028_2,,大塚外科内科前,,34.112058,134.578574,1028_2,,,,,,
1029_1,,マルナカ前,,34.112445,134.574442,1029_1,,,,,,
1029_2,,マルナカ前,,34.112445,134.574341,1029_2,,,,,,
103_1,,木津,,34.171372,134.590327,103_1,,,,,,
103_2,,木津,,34.171519,134.590396,103_2,,,,,,
1030_1,,川内支所前,,34.107131,134.573659,1030_1,,,,,,
1030_2,,川内支所前,,34.10728,134.573739,1030_2,,,,,,
1031_1,,古川,,34.101313,134.556882,1031_1,,,,,,
1031_2,,古川,,34.101089,134.556769,1031_2,,,,,,
1032_1,,吉野川橋,,34.090556,134.552271,1032_1,,,,,,
1032_2,,吉野川橋,,34.090588,134.552168,1032_2,,,,,,
1033_1,,中吉野町四丁目,,34.086484,134.55006,1033_1,,,,,,
1033_2,,中吉野町四丁目,,34.086363,134.549176,1033_2,,,,,,
1034_1,,東田宮,,34.086736,134.547122,1034_1,,,,,,
1034_2,,東田宮,,34.086598,134.546487,1034_2,,,,,,
1035_1,,田宮運動公園口,,34.086793,134.542615,1035_1,,,,,,
1035_2,,田宮運動公園口,,34.086612,134.542133,1035_2,,,,,,
1036_1,,田宮二丁目変電所前,,34.086781,134.540257,1036_1,,,,,,
1036_2,,田宮二丁目変電所前,,34.086615,134.540063,1036_2,,,,,,
1037_1,,島田石橋,,34.083408,134.518923,1037_1,,,,,,
1038_1,,ロープウェイ前,,34.069488,134.546472,1038_1,,,,,,
1038_2,,ロープウェイ前,,34.069907,134.546468,1038_2,,,,,,
1039_1,,秋田町一丁目,,34.064605,134.549406,1039_1,,,,,,
1039_2,,秋田町一丁目,,34.065342,134.549591,1039_2,,,,,,
104_1,,石越橋,,34.171761,134.592682,104_1,,,,,,
104_2,,石越橋,,34.171894,134.592893,104_2,,,,,,
1040_1,,秋田町三丁目,,34.063153,134.549337,1040_1,,,,,,
1040_2,,秋田町三丁目,,34.063002,134.549468,1040_2,,,,,,
1041_1,,秋田町四丁目,,34.061276,134.549226,1041_1,,,,,,
1041_2,,秋田町四丁目,,34.061662,134.54939,1041_2,,,,,,
1042_1,,富田橋通五丁目,,34.059821,134.551912,1042_1,,,,,,
1042_2,,富田橋通五丁目,,34.06,134.551635,1042_2,,,,,,
1043_1,,かちどき橋五丁目,,34.059248,134.553951,1043_1,,,,,,
1043_2,,かちどき橋五丁目,,34.059342,134.553959,1043_2,,,,,,
1044_1,,南昭和町三丁目,,34.057286,134.558222,1044_1,,,,,,
1044_2,,南昭和町三丁目,,34.057261,134.558457,1044_2,,,,,,
1045_1,,南昭和町五丁目,,34.055817,134.560862,1045_1,,,,,,
1045_2,,南昭和町五丁目,,34.055301,134.560732,1045_2,,,,,,
1046_1,,文理大学前,,34.053283,134.55998,1046_1,,,,,,
1046_2,,文理大学前,,34.052991,134.559951,1046_2,,,,,,
1047_1,,山城町,,34.051167,134.558841,1047_1,,,,,,
1047_2,,山城町,,34.051227,134.558991,1047_2,,,,,,
1048_1,,文理小学校前,,34.048744,134.557866,1048_1,,,,,,
1048_2,,文理小学校前,,34.048233,134.557159,1048_2,,,,,,
1049_1,,沖浜東三丁目,,34.049001,134.554684,1049_1,,,,,,
1049_2,,沖浜東三丁目,,34.048927,134.554611,1049_2,,,,,,
105_1,,祇園通,,34.172191,134.599381,105_1,,,,,,
105_2,,祇園通,,34.172291,134.599469,105_2,,,,,,
1050_1,,マルナカ徳島店前,,34.043133,134.557656,1050_1,,,,,,
1050_2,,マルナカ徳島店前,,34.042778,134.558183,1050_2,,,,,,
1051_1,,西新浜町,,34.043489,134.564187,1051_1,,,,,,
1051_2,,西新浜町,,34.043253,134.564331,1051_2,,,,,,
1052_1,,新浜本町二丁目,,34.044288,134.567905,1052_1,,,,,,
1052_2,,新浜本町二丁目,,34.043842,134.567874,1052_2,,,,,,
1053_1,,仲之町二丁目,,34.066267,134.553151,1053_1,,,,,,
1054_2,,仲之町三丁目,,34.066108,134.554676,1054_2,,,,,,
1055_1,,アスティとくしま,,34.053399,134.56129,1055_1,,,,,,
1057_1,,田浦東,,33.997715,134.557934,1057_1,,,,,,
1058_1,,目佐,,33.96487,134.632281,1058_1,,,,,,
1059_1,,大場,,33.969677,134.635989,1059_1,,,,,,
106_1,,斎田発,,34.172459,134.601691,106_1,,,,,,
106_2,,斎田発,,34.173023,134.60385,106_2,,,,,,
1060_1,,坂野南,,33.978514,134.634416,1060_1,,,,,,
1060_2,,坂野南,,33.978391,134.634353,1060_2,,,,,,
1061_1,,小松島高校前,,34.00524,134.584629,1061_1,,,,,,
1061_2,,小松島高校前,,34.004137,134.584467,1061_2,,,,,,
1062_1,,高須,,34.001338,134.584379,1062_1,,,,,,
1063_1,,芝生北,,33.997669,134.585353,1063_1,,,,,,
1064_1,,芝生東,,33.995917,134.58343,1064_1,,,,,,
1065_1,,芝生中,,33.993698,134.581631,1065_1,,,,,,
1066_1,,芝生,,33.991479,134.581788,1066_1,,,,,,
1067_1,,恩山寺前,,33.988929,134.581906,1067_1,,,,,,
1068_1,,田野,,33.984172,134.586101,1068_1,,,,,,
1069_1,,田野白砂,,33.981081,134.586908,1069_1,,,,,,
107_1,,鳴門市第一中学校前,,34.173212,134.604817,107_1,,,,,,
107_2,,鳴門市第一中学校前,,34.173273,134.604695,107_2,,,,,,
107_3,,鳴門市第一中学校前,,34.173064,134.606291,107_3,,,,,,
1070_1,,天王谷,,33.976962,134.58966,1070_1,,,,,,
1071_1,,天王谷団地前,,33.975049,134.590611,1071_1,,,,,,
1072_1,,田中山,,33.971058,134.592859,1072_1,,,,,,
1073_1,,塩瀬橋,,33.969787,134.599947,1073_1,,,,,,
1074_1,,立江小学校前,,33.967588,134.60337,1074_1,,,,,,
1074_2,,立江小学校前,,33.967558,134.603638,1074_2,,,,,,
1075_1,,立江西,,33.966481,134.602508,1075_1,,,,,,
1076_1,,旧立江中学校前,,33.963548,134.600832,1076_1,,,,,,
1077_1,,立江天神前,,33.961109,134.598161,1077_1,,,,,,
1078_1,,櫛渕東,,33.958983,134.594861,1078_1,,,,,,
1079_1,,櫛渕農協前,,33.956491,134.589499,1079_1,,,,,,
108_1,,鳴門渦潮高校前,,34.16738,134.600308,108_1,,,,,,
108_2,,鳴門渦潮高校前,,34.167593,134.600344,108_2,,,,,,
1080_1,,湯谷,,33.955174,134.585616,1080_1,,,,,,
1081_1,,櫛渕八幡社前,,33.953085,134.583872,1081_1,,,,,,
1082_1,,法泉寺前,,33.95094,134.577296,1082_1,,,,,,
1083_1,,萱原,,33.948389,134.575261,1083_1,,,,,,
1084_1,,秋田町六丁目,,34.058507,134.549063,1084_1,,,,,,
1084_2,,秋田町六丁目,,34.058816,134.54922,1084_2,,,,,,
1085_1,,文化の森,,34.040632,134.527323,1085_1,,,,,,
1086_1,,文化の森駅東,,34.044337,134.544989,1086_1,,,,,,
1086_2,,文化の森駅東,,34.04434,134.545282,1086_2,,,,,,
1087_1,,フジグラン石井,,34.083463,134.442424,1087_1,,,,,,
1089_1,,中洲町三丁目,,34.067556,134.560634,1089_1,,,,,,
1089_2,,中洲町三丁目,,34.067635,134.560756,1089_2,,,,,,
109_1,,東発,,34.16985,134.603269,109_1,,,,,,
109_2,,東発,,34.17071,134.604573,109_2,,,,,,
1090_1,,南福島町,,34.066855,134.565367,1090_1,,,,,,
1090_2,,南福島町,,34.066727,134.565786,1090_2,,,,,,
1091_1,,末広一丁目,,34.063574,134.568582,1091_1,,,,,,
1091_2,,末広一丁目,,34.062605,134.569699,1091_2,,,,,,
1092_1,,南末広町,,34.062019,134.57021,1092_1,,,,,,
1092_2,,南末広町,,34.061254,134.57139,1092_2,,,,,,
1093_1,,南末広町中・イオンモール前,,34.059845,134.57423,1093_1,,,,,,
1093_2,,南末広町中・イオンモール前,,34.059983,134.574339,1093_2,,,,,,
1094_1,,中田八幡社前（旧道）,,34.01364,134.575634,1094_1,,,,,,
1095_1,,中田（旧道）,,34.014791,134.569974,1095_1,,,,,,
1096_1,,中田郵便局前（旧道）,,34.016123,134.568985,1096_1,,,,,,
